source_file,source_header,bulgarian_header,technical_hidden_by_default,unexpected_ascii_words,forbidden_tokens,pass
data/raw/toto49_2026_statistics/draws_2026.csv,Число 4,Число 4,False,,,True
data/raw/toto49_2026_statistics/draws_2026.csv,Число 5,Число 5,False,,,True
data/raw/toto49_2026_statistics/draws_2026.csv,Число 6,Число 6,False,,,True
data/raw/toto49_2026_statistics/draws_2026.csv,Сума,Сума,False,,,True
data/raw/toto49_2026_statistics/draws_2026.csv,Четни,Четни,False,,,True
data/raw/toto49_2026_statistics/draws_2026.csv,Нечетни,Нечетни,False,,,True
data/raw/toto49_2026_statistics/draws_2026.csv,Ниски 1-24,Ниски 1 24,False,,,True
data/raw/toto49_2026_statistics/draws_2026.csv,Високи 25-49,Високи 25 49,False,,,True
data/raw/toto49_2026_statistics/draws_2026.csv,Повт. от предходен,Повт от предходен,False,,,True
data/raw/toto49_2026_statistics/jackpot_summary_2026.csv,metric,Показател,False,,,True
data/raw/toto49_2026_statistics/jackpot_summary_2026.csv,value,Стойност,False,,,True
data/raw/toto49_2026_statistics/pair_frequency_observed_2026.csv,Двойка,Двойка,False,,,True
data/raw/toto49_2026_statistics/pair_frequency_observed_2026.csv,Число A,Число A,False,,,True
data/raw/toto49_2026_statistics/pair_frequency_observed_2026.csv,Число B,Число B,False,,,True
data/raw/toto49_2026_statistics/pair_frequency_observed_2026.csv,Появявания,Появявания,False,,,True
data/raw/toto49_2026_statistics/sum_statistics_2026.csv,Категория,Категория,False,,,True
data/v40_normalized_draw_events.csv,draw_event_id,Тираж събитие идентификатор,True,,,True
data/v40_normalized_draw_events.csv,source_draw_id,Източник тираж идентификатор,False,,,True
data/v40_normalized_draw_events.csv,drawing_no,Номер на тегленето,False,,,True
data/v40_normalized_draw_events.csv,rules_version,Версия на правилата,False,,,True
data/v40_normalized_draw_events.csv,data_status,Състояние на данните,False,,,True
data/v40_sample_draw_event_result.csv,source_label,Наименование на източника,False,,,True
data/v40_sample_ticket_tables.csv,ticket_id,Идентификатор на фиша,False,,,True
data/v40_sample_ticket_tables.csv,ticket_table_no,Номер на таблицата на фиша,False,,,True
data/v41_bst_official_normalized_draw_events_candidate.csv,source_file,Източник файл,False,,,True
data/v41_bst_official_normalized_draw_events_candidate.csv,parser_format,Формат на прочитане,False,,,True
data/v84_model_forward_test_snapshots.csv,snapshot_id,Моментно състояние идентификатор,False,,,True
data/v84_model_forward_test_snapshots.csv,snapshot_name,Моментно състояние наименование,False,,,True
data/v84_model_forward_test_snapshots.csv,snapshot_created_at,Моментно състояние създадено на,False,,,True
data/v84_model_forward_test_snapshots.csv,dataset_draw_index_at_snapshot,Данни тираж номер на моментно състояние,True,,,True
data/v84_model_forward_test_snapshots.csv,dataset_latest_draw_date_at_snapshot,Данни последен тираж дата на моментно състояние,True,,,True
data/v84_model_forward_test_snapshots.csv,model_key,Ключ на модела,False,,,True
data/v84_model_forward_test_snapshots.csv,model_label,Наименование на модела,False,,,True
data/v84_model_forward_test_snapshots.csv,ticket_label,Наименование на фиша,False,,,True
data/v84_model_forward_test_snapshots.csv,numbers,Числа,False,,,True
data/v84_model_forward_test_snapshots.csv,status,Статус,False,,,True
data/v84_model_forward_test_snapshots.csv,safe_note,Бележка за безопасност,False,,,True
reports/bst_official_sync_checklist.csv,message,Съобщение,False,,,True
reports/r/r_cold_numbers.csv,frequency,Честотен,False,,,True
reports/r/r_cold_numbers.csv,frequency_share,Дял на честотата,False,,,True
reports/r/r_cold_numbers.csv,expected_uniform_count,Очакван брой при равномерно разпределение,False,,,True
reports/r/r_cold_numbers.csv,diff_from_expected,Разлика спрямо очакваното,False,,,True
reports/r/r_cold_numbers.csv,rank_desc,Класиране,False,,,True
reports/r/r_distribution_tests.csv,test,Тест,False,,,True
reports/r/r_distribution_tests.csv,statistic,Статистика,False,,,True
reports/r/r_distribution_tests.csv,p_value,p-стойност,False,,,True
reports/r/r_draw_sum_history.csv,draw_sum,Тираж сума,False,,,True
reports/r/r_gap_statistics.csv,appearances,Появявания,False,,,True
reports/r/r_gap_statistics.csv,current_gap,Текущ интервал,False,,,True
reports/r/r_gap_statistics.csv,average_gap,Среден интервал,False,,,True
reports/r/r_gap_statistics.csv,max_gap,Най-висок интервал,False,,,True
reports/r/r_gap_statistics.csv,gap_ratio,Коефициент на интервала,False,,,True
reports/r/r_monte_carlo_baseline.csv,real_frequency,Реален честотен,False,,,True
reports/r/r_monte_carlo_baseline.csv,simulated_mean,Симулиран средно,False,,,True
reports/r/r_monte_carlo_baseline.csv,simulated_p05,Симулиран 5-и персентил,False,,,True
reports/r/r_monte_carlo_baseline.csv,simulated_p95,Симулиран 95-и персентил,False,,,True
reports/r/r_monte_carlo_baseline.csv,above_p95,Над 95-и персентил,False,,,True
reports/r/r_monte_carlo_baseline.csv,below_p05,Под 5-и персентил,False,,,True
reports/r/r_pair_analysis.csv,pair_a,Двойка А,False,,,True
reports/r/r_pair_analysis.csv,pair_b,Двойка Б,False,,,True
reports/r/r_pair_analysis.csv,pair,Двойка,False,,,True
reports/r/r_pattern_analysis.csv,odd_count,Нечетни числа,False,,,True
reports/r/r_pattern_analysis.csv,even_count,Четни числа,False,,,True
reports/r/r_pattern_analysis.csv,low_count,Ниски числа,False,,,True
reports/r/r_pattern_analysis.csv,high_count,Високи числа,False,,,True
reports/r/r_pattern_analysis.csv,spread,Разпределение,False,,,True
reports/v100_final_release_lock_checklist.csv,area_bg,Област,False,,,True
reports/v100_final_release_lock_checklist.csv,check_bg,Проверка,False,,,True
reports/v100_final_release_lock_checklist.csv,blocking,Блокиращо,False,,,True
reports/v100_final_release_lock_checklist.csv,details_bg,Подробности,False,,,True
reports/v100_final_release_lock_manifest.csv,artifact_type,Артефакт тип,True,,,True
reports/v100_final_release_lock_manifest.csv,path,Път,False,,,True
reports/v100_final_release_lock_manifest.csv,note_bg,Бележка,False,,,True
reports/v101_real_use_protocol_steps.csv,order,Ред,False,,,True
reports/v101_real_use_protocol_steps.csv,phase_bg,Етап,False,,,True
reports/v101_real_use_protocol_steps.csv,action_bg,Действие,False,,,True
reports/v101_real_use_protocol_steps.csv,why_bg,Причина,False,,,True
reports/v101_real_use_protocol_steps.csv,expected_result_bg,Очакван резултат,False,,,True
reports/v102_runtime_hardening_checklist.csv,check,Проверка,False,,,True
reports/v102_runtime_hardening_checklist.csv,passed,Преминато,False,,,True
reports/v103_clean_release_checkpoint_manifest.csv,relative_path,Относителен път,False,,,True
reports/v103_clean_release_checkpoint_manifest.csv,included_in_clean_zip,Включен в чист zip,False,,,True
reports/v103_clean_release_checkpoint_manifest.csv,metadata_source,Метаданни източник,False,,,True
reports/v104_final_step_statuses.csv,step,Етап,False,,,True
reports/v104_final_step_statuses.csv,report,Отчет,False,,,True
reports/v104_final_step_statuses.csv,exists,Наличен,False,,,True
reports/v105_add_draw_navigation_fix_checklist.csv,details,Подробности,False,,,True
reports/v107_model_training_policy_refresh_control_table.csv,group_bg,Група,False,,,True
reports/v107_model_training_policy_refresh_control_table.csv,cadence_bg,Периодичност,False,,,True
reports/v107_model_training_policy_refresh_control_table.csv,scripts_bg,Скриптове,False,,,True
reports/v107_model_training_policy_refresh_control_table.csv,decision_bg,Решение,False,,,True
reports/v107_model_training_policy_refresh_control_table.csv,reason_bg,Причина,False,,,True
reports/v114_ticket_line_value.csv,Фиш,Фиш,False,,,True
reports/v114_ticket_line_value.csv,Ред,Ред,False,,,True
reports/v114_ticket_line_value.csv,Комбинация,Комбинация,False,,,True
reports/v114_ticket_line_value.csv,Печеливши числа,Печеливши числа,False,,,True
reports/v114_ticket_line_value.csv,Попадения,Попадения,False,,,True
reports/v114_ticket_line_value.csv,Съвпаднали числа,Съвпаднали числа,False,,,True
reports/v114_ticket_line_value.csv,Печалба от реда,Печалба от реда,False,,,True
reports/v114_ticket_line_value.csv,Статус,Статус,False,,,True
reports/v114_ticket_line_value.csv,Произход,Произход,False,,,True
reports/v117_real_ticket_pack_builder_cards.csv,ticket_no,Фиш номер,False,,,True
reports/v117_real_ticket_pack_builder_cards.csv,ticket_title_bg,Фиш наименование,False,,,True
reports/v117_real_ticket_pack_builder_cards.csv,line_no,Номер на комбинацията,False,,,True
reports/v117_real_ticket_pack_builder_cards.csv,role_bg,Роля,False,,,True
reports/v117_real_ticket_pack_builder_cards.csv,strategy_bg,Стратегия,False,,,True
reports/v117_real_ticket_pack_builder_cards.csv,source_note_bg,Източник бележка,False,,,True
reports/v117_real_ticket_pack_builder_cards.csv,price_eur,Цена eur,False,,,True
reports/v118_full_system_price_table.csv,system_numbers,Система числа,False,,,True
reports/v118_full_system_price_table.csv,combinations,Комбинации,False,,,True
reports/v118_full_system_price_table.csv,tickets_4_lines,Фишове 4 комбинации,False,,,True
reports/v118_full_system_price_table.csv,price_per_line_eur,Цена за комбинация eur,False,,,True
reports/v118_full_system_price_table.csv,total_price_eur,Общо цена eur,False,,,True
reports/v118_full_system_price_table.csv,total_price_label,Общо цена наименование,False,,,True
reports/v118_model_system_ticket_pack.csv,global_line_no,Общ комбинация номер,False,,,True
reports/v120_post_bst_model_data_refresh_checklist.csv,dataset,Данни,False,,,True
reports/v120_post_bst_model_data_refresh_checklist.csv,action,Действие,False,,,True
reports/v121_r_blended_number_scores.csv,r_blended_score,"Оценка, комбинирана с R",False,,,True
reports/v121_r_blended_number_scores.csv,r_frequency_score,R честотен оценка,False,,,True
reports/v121_r_blended_number_scores.csv,r_gap_score,R интервал оценка,False,,,True
reports/v121_r_blended_number_scores.csv,r_monte_carlo_score,Оценка от Монте Карло в R,False,,,True
reports/v121_r_blended_number_scores.csv,latest_draw_repeat_flag,Повторение от последния тираж,False,,,True
reports/v121_r_blended_number_scores.csv,latest_draw_neighbor_flag,Съседно число спрямо последния тираж,False,,,True
reports/v121_r_blended_number_scores.csv,r_frequency_count,R честотен брой,False,,,True
reports/v121_r_blended_number_scores.csv,r_current_gap,Текущ интервал според R,False,,,True
reports/v121_r_blended_number_scores.csv,r_monte_carlo_observed,Наблюдавана стойност от Монте Карло,False,,,True
reports/v121_r_blended_number_scores.csv,r_monte_carlo_expected,Очаквана стойност от Монте Карло,False,,,True
reports/v121_r_blended_number_scores.csv,r_monte_carlo_deviation,Отклонение от Монте Карло,False,,,True
reports/v121_r_blended_number_scores.csv,feature_source,Характеристика източник,False,,,True
reports/v121_r_feature_ticket_pack.csv,pack_no,Пакет номер,False,,,True
reports/v121_r_feature_ticket_pack.csv,r_ticket_score,R фиш оценка,False,,,True
reports/v121_r_feature_ticket_pack.csv,sum,Сума,False,,,True
reports/v121_r_statistical_pair_features.csv,number_a,Число А,False,,,True
reports/v121_r_statistical_pair_features.csv,number_b,Число Б,False,,,True
reports/v121_r_statistical_pair_features.csv,r_pair_count,R двойка брой,False,,,True
reports/v121_r_statistical_pair_features.csv,r_pair_score,R двойка оценка,False,,,True
reports/v122_unified_official_draw_freshness_matrix.csv,key,Ключ,False,,,True
reports/v122_unified_official_draw_freshness_matrix.csv,label,Наименование,False,,,True
reports/v122_unified_official_draw_freshness_matrix.csv,draw_delta,Тираж промяна,False,,,True
reports/v144_baseline_lab_results.csv,strategy,Стратегия,False,,,True
reports/v144_baseline_lab_results.csv,trial,Опит,False,,,True
reports/v144_baseline_lab_results.csv,draws_tested,Проверени тиражи,False,,,True
reports/v144_baseline_lab_results.csv,average_best_hits,Среден най-добър резултат,False,,,True
reports/v144_baseline_lab_results.csv,average_total_hits,Средно общо познати числа,False,,,True
reports/v144_baseline_lab_results.csv,max_best_hits,Най-висок резултат,False,,,True
reports/v144_baseline_lab_results.csv,at_least_2_percent,Поне 2 попадения (%),False,,,True
reports/v144_baseline_lab_results.csv,at_least_3_percent,Поне 3 попадения (%),False,,,True
reports/v144_baseline_lab_results.csv,at_least_4_percent,Поне 4 попадения (%),False,,,True
reports/v144_baseline_lab_results.csv,at_least_5_percent,Поне 5 попадения (%),False,,,True
reports/v144_baseline_lab_results.csv,exact_6_count,Точни 6 попадения,False,,,True
reports/v144_experiment_registry_index.csv,experiment_id,Идентификатор,True,,,True
reports/v144_experiment_registry_index.csv,title,Наименование,False,,,True
reports/v144_experiment_registry_index.csv,created_at_utc,Създадено на,True,,,True
reports/v144_experiment_registry_index.csv,last_run_at_utc,Последен изпълнение на UTC,False,,,True
reports/v144_experiment_registry_index.csv,dataset_sha256,Подпис на данните,True,,,True
reports/v144_experiment_registry_index.csv,latest_draw,Последен тираж,False,,,True
reports/v144_experiment_registry_index.csv,seed,Начална стойност,False,,,True
reports/v144_experiment_registry_index.csv,holdout_draws,Независима проверка тиражи,False,,,True
reports/v144_experiment_registry_index.csv,result_signature_sha256,Подпис на резултата,True,,,True
reports/v145_neural_dynamics_draw_comparison.csv,neural_best_hits,Невронен най-добър познати числа,False,,,True
reports/v145_neural_dynamics_draw_comparison.csv,frequency_best_hits,Честотен най-добър познати числа,False,,,True
reports/v145_neural_dynamics_draw_comparison.csv,recency_best_hits,Скорошна активност най-добър познати числа,False,,,True
reports/v145_neural_dynamics_draw_comparison.csv,uniform_random_mean_best_hits,Среден резултат на случайния модел,False,,,True
reports/v145_neural_dynamics_draw_comparison.csv,neural_minus_frequency,Невронен минус честотен,False,,,True
reports/v145_neural_dynamics_draw_comparison.csv,neural_minus_recency,Невронен минус скорошна активност,False,,,True
reports/v146_neural_robustness_draw_comparison.csv,fold,Исторически период,False,,,True
reports/v146_neural_robustness_draw_comparison.csv,recent_window_best_hits,Последни прозорец най-добър познати числа,False,,,True
reports/v146_neural_robustness_draw_comparison.csv,blend_best_hits,Смесен най-добър познати числа,False,,,True
reports/v146_neural_robustness_fold_stability.csv,runs,Изпълнения,False,,,True
reports/v146_neural_robustness_fold_stability.csv,neural_dynamics_reservoir,Невронен модел,False,,,True
reports/v146_neural_robustness_fold_stability.csv,frequency_walk_forward,Честотен модел,False,,,True
reports/v146_neural_robustness_fold_stability.csv,recency_weighted_walk_forward,Модел на скорошната активност,False,,,True
reports/v146_neural_robustness_fold_stability.csv,recent_window_frequency,Честотен модел в скорошен прозорец,False,,,True
reports/v146_neural_robustness_fold_stability.csv,frequency_recency_blend,Смесен честотен и скорошен модел,False,,,True
reports/v146_neural_robustness_fold_stability.csv,uniform_random_mean,Среден резултат — случаен модел,False,,,True
reports/v146_neural_robustness_fold_stability.csv,neural_minus_frequency_walk_forward,Невронен минус честотен последователна историческа проверка,False,,,True
reports/v146_neural_robustness_fold_stability.csv,neural_minus_recency_weighted_walk_forward,Невронен минус скорошна активност претеглен последователна историческа проверка,False,,,True
reports/v146_neural_robustness_fold_stability.csv,neural_minus_recent_window_frequency,Невронен минус последни прозорец честотен,False,,,True
reports/v146_neural_robustness_fold_stability.csv,neural_minus_frequency_recency_blend,Невронен минус честотен скорошна активност смесен,False,,,True
reports/v146_neural_robustness_fold_stability.csv,neural_minus_uniform_random_mean,Невронен минус равномерно случаен средно,False,,,True
reports/v146_neural_robustness_run_results.csv,training_draws_initial,Обучаващи тиражи начални,False,,,True
reports/v146_neural_robustness_run_results.csv,holdout_first_draw,Независима проверка първи тираж,False,,,True
reports/v146_neural_robustness_run_results.csv,holdout_last_draw,Независима проверка последен тираж,False,,,True
reports/v147_experimental_evidence_matrix.csv,evidence_scope,Доказателства обхват,False,,,True
reports/v147_experimental_evidence_matrix.csv,candidate,Изследван метод,False,,,True
reports/v147_experimental_evidence_matrix.csv,comparator,Сравнителен метод,False,,,True
reports/v147_experimental_evidence_matrix.csv,mean_advantage,Средна разлика,False,,,True
reports/v147_experimental_evidence_matrix.csv,ci_lower,Долна граница на 95% интервал,False,,,True
reports/v147_experimental_evidence_matrix.csv,ci_upper,Горна граница на 95% интервал,False,,,True
reports/v147_experimental_evidence_matrix.csv,positive_seed_rate,Положителен дял по начални стойности,False,,,True
reports/v147_experimental_evidence_matrix.csv,positive_fold_rate,Положителен дял по периоди,False,,,True
reports/v147_experimental_evidence_matrix.csv,source_promotion_gate_passed,Изходното условие е преминато,False,,,True
reports/v147_experimental_evidence_matrix.csv,evidence_outcome,Извод от доказателствата,False,,,True
reports/v147_experimental_evidence_matrix.csv,robust_superiority_demonstrated,Показано устойчиво превъзходство,False,,,True
reports/v147_experimental_evidence_matrix.csv,production_eligible,Допустимо за работния режим,False,,,True
reports/v147_experimental_evidence_matrix.csv,source_summary,Източник на обобщението,True,,,True
reports/v147_research_decision_registry_index.csv,decision_id,Идентификатор на решението,True,,,True
reports/v147_research_decision_registry_index.csv,last_evaluated_at_utc,Последно оценено на,True,,,True
reports/v147_research_decision_registry_index.csv,source_experiments,Изходни експерименти,False,,,True
reports/v147_research_decision_registry_index.csv,evidence_rows,Сравнения с доказателства,False,,,True
reports/v147_research_decision_registry_index.csv,production_promotion,Допускане до работния режим,False,,,True
reports/v147_research_decision_registry_index.csv,current_neural_configuration,Текуща невронна конфигурация,False,,,True
reports/v148_active_locked_evaluation_packages.csv,lock_id,Идентификатор на заключването,True,,,True
reports/v148_active_locked_evaluation_packages.csv,expected_draw_key,Очакван тираж,False,,,True
reports/v148_active_locked_evaluation_packages.csv,method,Метод,False,,,True
reports/v148_active_locked_evaluation_packages.csv,evaluation_line,Оценяване комбинация,False,,,True
reports/v148_forward_test_ledger_index.csv,event_index,Пореден номер,False,,,True
reports/v148_forward_test_ledger_index.csv,event_type,Тип събитие,False,,,True
reports/v148_forward_test_ledger_index.csv,event_sha256,SHA-256 подпис на събитието,True,,,True
reports/v148_forward_test_ledger_index.csv,previous_event_sha256,Подпис на предишното събитие,True,,,True
reports/v148_forward_test_ledger_index.csv,protocol_id,Идентификатор на протокола,True,,,True
reports/v148_forward_test_ledger_index.csv,event_time_utc,Събитие време UTC,False,,,True
reports/v148_forward_test_ledger_index.csv,actual_draw_key,Действителни тираж ключ,False,,,True
reports/v148_forward_test_ledger_index.csv,target_sequence_index,Целеви последователност номер,True,,,True
reports/v148_forward_test_settlements.csv,eligible_draw_number,Допустим тираж число,False,,,True
reports/v148_forward_test_settlements.csv,actual_numbers,Действително изтеглени числа,False,,,True
reports/v148_forward_test_settlements.csv,unlocked_draws_after_target_excluded,Незаключени тиражи след целеви Изключено,False,,,True
reports/v148_forward_test_settlements.csv,neural_dynamics_frozen_ensemble_best_hits,Невронен динамика замразен ансамбъл най-добър познати числа,False,,,True
reports/v148_forward_test_settlements.csv,neural_dynamics_frozen_ensemble_total_hits,Невронен динамика замразен ансамбъл общо познати числа,False,,,True
reports/v148_forward_test_settlements.csv,frequency_walk_forward_best_hits,Честотен последователна историческа проверка най-добър познати числа,False,,,True
reports/v148_forward_test_settlements.csv,frequency_walk_forward_total_hits,Честотен последователна историческа проверка общо познати числа,False,,,True
reports/v148_forward_test_settlements.csv,recency_weighted_walk_forward_best_hits,Скорошна активност претеглен последователна историческа проверка най-добър познати числа,False,,,True
reports/v148_forward_test_settlements.csv,recency_weighted_walk_forward_total_hits,Скорошна активност претеглен последователна историческа проверка общо познати числа,False,,,True
reports/v148_forward_test_settlements.csv,recent_window_frequency_best_hits,Последни прозорец честотен най-добър познати числа,False,,,True
reports/v148_forward_test_settlements.csv,recent_window_frequency_total_hits,Последни прозорец честотен общо познати числа,False,,,True
reports/v148_forward_test_settlements.csv,frequency_recency_blend_best_hits,Честотен скорошна активност смесен най-добър познати числа,False,,,True
reports/v148_forward_test_settlements.csv,frequency_recency_blend_total_hits,Честотен скорошна активност смесен общо познати числа,False,,,True
reports/v149_remaining_exact_duplicate_groups.csv,sha256,SHA-256,True,,,True
reports/v149_remaining_exact_duplicate_groups.csv,file_size_bytes,Файл размер байтове,False,,,True
reports/v149_remaining_exact_duplicate_groups.csv,copies,Копия,False,,,True
reports/v149_remaining_exact_duplicate_groups.csv,redundant_bytes,Излишни байтове,False,,,True
reports/v149_remaining_exact_duplicate_groups.csv,paths,Пътища,False,,,True
reports/v149_removed_current_tree_files.csv,reason,Причина,False,,,True
reports/v149_removed_current_tree_files.csv,size_bytes,Размер (байтове),False,,,True
reports/v150_ui_literal_audit.csv,file,Файл,False,,,True
reports/v150_ui_literal_audit.csv,line,Комбинация,False,,,True
reports/v150_ui_literal_audit.csv,widget,Елемент,False,,,True
reports/v150_ui_literal_audit.csv,source_text,Източник текст,False,,,True
reports/v150_ui_literal_audit.csv,bulgarian_display,Български показване,False,,,True
reports/v150_ui_literal_audit.csv,english_display,Английски показване,False,,,True
reports/v150_ui_literal_audit.csv,forbidden_bg_tokens,Забранени термини,False,,,True
reports/v150_ui_literal_audit.csv,unexpected_ascii_words,Неочаквани латиница думи,False,,,True
reports/v150_ui_literal_audit.csv,bg_pass,Преминато,False,,,True
reports/v40_ticket_checker_sample.csv,chosen_numbers,Избрани числа,False,,,True
reports/v40_ticket_checker_sample.csv,drawn_numbers,Изтеглени числа,False,,,True
reports/v40_ticket_checker_sample.csv,matched_numbers,Познати числа,False,,,True
reports/v40_ticket_checker_sample.csv,match_count,Брой съвпадения,False,,,True
reports/v40_ticket_checker_sample.csv,bonus_match,Допълнително съвпадение,False,,,True
reports/v40_ticket_checker_sample.csv,bonus_match_bg,Допълнително съвпадение,False,,,True
reports/v40_ticket_checker_sample.csv,result_label_bg,Резултат наименование,False,,,True
reports/v41_bst_official_archive_urls.csv,url,Url,False,,,True
reports/v41_model_backtest_events.csv,model,Модел,False,,,True
reports/v41_model_backtest_events.csv,predicted_top6,Прогнозирани водещи 6 числа,False,,,True
reports/v41_model_backtest_events.csv,hit_count,Брой попадения,False,,,True
reports/v42_combined_positive_negative_scores.csv,total_hits,Общо познати числа,False,,,True
reports/v42_combined_positive_negative_scores.csv,expected_hits,Очакван познати числа,False,,,True
reports/v42_combined_positive_negative_scores.csv,difference_from_expected,Разлика спрямо очакван,False,,,True
reports/v42_combined_positive_negative_scores.csv,frequency_ratio,Коефициент на честотата,False,,,True
reports/v42_combined_positive_negative_scores.csv,current_absence_gap,Текущ отсъствие интервал,False,,,True
reports/v42_combined_positive_negative_scores.csv,max_absence_gap,Най-висок отсъствие интервал,False,,,True
reports/v42_combined_positive_negative_scores.csv,last_25_hits,Последен 25 познати числа,False,,,True
reports/v42_combined_positive_negative_scores.csv,last_50_hits,Последен 50 познати числа,False,,,True
reports/v42_combined_positive_negative_scores.csv,last_100_hits,Последен 100 познати числа,False,,,True
reports/v42_combined_positive_negative_scores.csv,last_250_hits,Последен 250 познати числа,False,,,True
reports/v42_combined_positive_negative_scores.csv,last_500_hits,Последен 500 познати числа,False,,,True
reports/v42_combined_positive_negative_scores.csv,v41_vote_count,V41 глас брой,False,,,True
reports/v42_combined_positive_negative_scores.csv,positive_signal_score,Положително сигнал оценка,False,,,True
reports/v42_combined_positive_negative_scores.csv,absence_risk_score,Отсъствие риск оценка,False,,,True
reports/v42_combined_positive_negative_scores.csv,combined_score,Комбинирана оценка,False,,,True
reports/v42_combined_positive_negative_scores.csv,absence_risk_level,Отсъствие риск ниво,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,last_seen_draw,Последен поява тираж,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,average_interval,Среден интервал,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,median_interval,Медианен интервал,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,mode_interval,Режим интервал,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,std_interval,Стандартно отклонение интервал,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,coefficient_of_variation,Коефициент от вариация,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,min_interval,Минимален интервал,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,max_interval,Най-висок интервал,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,p25_interval,25-и персентил интервал,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,p75_interval,75-и персентил интервал,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,p90_interval,90-и персентил интервал,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,expected_remaining_mean,Очакван оставащ средно,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,expected_remaining_median,Очакван оставащ медианен,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,probability_next_1_draw,Вероятност следващ 1 тираж,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,probability_next_3_draws,Вероятност следващ 3 тиражи,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,probability_next_5_draws,Вероятност следващ 5 тиражи,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,probability_next_10_draws,Вероятност следващ 10 тиражи,False,,,True
reports/v43_1_interval_rhythm_refined_scores.csv,survived_intervals_for_next_5,Преминали интервали за следващ 5,False,,,True
